+----------+----------------+-------------------------------------------------------+-------------------+--------------+------------------+-------------+--------------------+----------------+--------------------+-------------+----------+--------------------+
| page_id  | page_namespace | page_title                                            | page_restrictions | page_counter | page_is_redirect | page_is_new | page_random        | page_touched   | page_links_updated | page_latest | page_len | page_content_model |
| 20970906 |              1 | Q104454                                               |                   |            0 |                0 |           1 |      0.37882990066 | 20150404130948 | 20150404131001     |   199893749 |      224 | wikitext           |
| 17254258 |              1 | Q10448681                                             |                   |            0 |                0 |           1 |      0.13331584194 | 20150717072517 | 20140110085127     |    99835465 |       40 | wikitext           |
| 17254242 |              1 | Q10448683                                             |                   |            0 |                0 |           1 |     0.873269683955 | 20150717072517 | 20140110082856     |    99832594 |       40 | wikitext           |
| 21448594 |              1 | Q10449783                                             |                   |            0 |                0 |           1 |     0.626804593412 | 20150502043731 | 20150502043730     |   213905002 |      197 | wikitext           |
|  6420474 |              1 | Q1045038                                              |                   |            0 |                0 |           0 |     0.779947295416 | 20130310073602 | NULL               |    10640758 |      716 | wikitext           |
| 21425062 |              1 | Q10451514                                             |                   |            0 |                0 |           1 |     0.812266725065 | 20150421144406 | 20150421144405     |   212095032 |      197 | wikitext           |
| 21428065 |              1 | Q10451535                                             |                   |            0 |                0 |           1 |     0.723904030384 | 20150422093355 | 20150422093354     |   212259298 |      197 | wikitext           |
| 21443798 |              1 | Q10452552                                             |                   |            0 |                0 |           1 |     0.452593678066 | 20150430141557 | 20150430141557     |   213591226 |      197 | wikitext           |
| 21418476 |              1 | Q10454294                                             |                   |            0 |                0 |           1 |     0.394527307536 | 20150418083444 | 20150418083443     |   211242860 |      197 | wikitext           |
| 21418718 |              1 | Q10455530                                             |                   |            0 |                0 |           1 |     0.969199500347 | 20150418094421 | 20150418094420     |   211253382 |      197 | wikitext           |
| 21413101 |              1 | Q10455552                                             |                   |            0 |                0 |           1 |     0.294010649109 | 20150417125820 | 20150417125820     |   211144730 |      197 | wikitext           |
| 28795841 |              1 | Q1045658                                              |                   |            0 |                0 |           0 |     0.205536529886 | 20160918111859 | 20160918111853     |   377181548 |      379 | wikitext           |
| 17892392 |              1 | Q10457782                                             |                   |            0 |                0 |           1 |     0.235997743922 | 20140410055043 | 20140410055043     |   119948858 |      163 | wikitext           |
| 15261576 |              1 | Q104622                                               |                   |            0 |                0 |           0 |     0.821687462564 | 20130826223956 | NULL               |    67017191 |      489 | wikitext           |
| 16285582 |              1 | Q1046391                                              |                   |            0 |                0 |           0 |      0.92699276159 | 20160820102858 | 20160820105247     |    69349198 |     1282 | wikitext           |
| 27989774 |              1 | Q1046568                                              |                   |            0 |                0 |           1 |     0.432148660944 | 20160725085247 | 20160725085247     |   359431600 |      384 | wikitext           |
| 16879140 |              1 | Q10475844                                             |                   |            0 |                0 |           1 |     0.694644209086 | 20150717072517 | NULL               |    89344059 |       40 | wikitext           |
| 16889627 |              1 | Q10478867                                             |                   |            0 |                0 |           1 |     0.274976648211 | 20150717072517 | NULL               |    89812802 |       40 | wikitext           |
|  4770271 |              1 | Q1048                                                 |                   |            0 |                0 |           0 |     0.429165482171 | 20160919141431 | 20160919141431     |   377464383 |     1066 | wikitext           |
| 20169782 |              1 | Q10480204                                             |                   |            0 |                0 |           1 |     0.212534584363 | 20141223130037 | 20141215004743     |   181130364 |      173 | wikitext           |
| 19706424 |              1 | Q10481565                                             |                   |            0 |                0 |           0 |     0.564068769088 | 20160804000550 | 20160804000910     |   161761002 |      442 | wikitext           |
| 16879148 |              1 | Q10482004                                             |                   |            0 |                0 |           1 |     0.253103832638 | 20150717072517 | NULL               |    89344811 |       40 | wikitext           |
| 18952432 |              1 | Q10482269                                             |                   |            0 |                0 |           0 |     0.854208559973 | 20150508194857 | 20140714154203     |   144632837 |      308 | wikitext           |
| 23366952 |              1 | Q1048295                                              |                   |            0 |                0 |           1 |     0.005375312087 | 20160915234625 | 20160915080452     |   267699368 |      375 | wikitext           |
| 16891735 |              1 | Q10484099                                             |                   |            0 |                0 |           0 |     0.156219820506 | 20150717072517 | NULL               |    90054934 |       37 | wikitext           |
